[190.  682.5],[3.1920000e+03 9.8245614e-01]
[343.32785188 857.34007843],[2.40864950e+04 1.05717151e+00]
[340.00363441 861.93237549],[2.43476936e+04 1.04297522e+00]
[335.58664776 866.82480129],[2.46332236e+04 1.02865902e+00]
[326.17378083 874.76290216],[2.60705323e+04 1.03507348e+00]
[322.69815687 877.35932603],[2.65046682e+04 1.04154814e+00]
[314.03198071 885.37023528],[2.78330275e+04 1.03889380e+00]
[310.82748468 888.3072706 ],[2.83304035e+04 1.03789119e+00]
[306.17871584 892.52847485],[2.92727669e+04 1.03299096e+00]
[300.31670037 898.22615924],[3.00599513e+04 1.03862124e+00]
[289.77224307 908.07427386],[3.12409201e+04 1.05551036e+00]
[285.85441988 911.70662528],[3.16752115e+04 1.06193004e+00]
[279.33321613 916.83441598],[3.22625026e+04 1.07934093e+00]
[272.1274839 922.8714382],[3.31701169e+04 1.08492459e+00]
[264.98388017 928.2708738 ],[3.42247450e+04 1.07831659e+00]
[256.89555728 935.70064045],[3.55894396e+04 1.06723958e+00]
[248.45206521 942.28153786],[3.66905692e+04 1.08061913e+00]
[239.88635212 949.51242346],[3.78414208e+04 1.08475748e+00]
[230.62663821 957.30596148],[3.94250083e+04 1.07429915e+00]
[221.75507855 963.35909452],[4.06361451e+04 1.08709339e+00]
[205.93617168 975.88839896],[4.28160599e+04 1.07970017e+00]
[193.25469411 985.35904724],[4.46877214e+04 1.09589769e+00]
[188.58093041 988.80564603],[4.53808913e+04 1.10207545e+00]
[180.2705768  995.41437066],[4.70278427e+04 1.08952084e+00]
[ 164.04396827 1008.42836307],[4.95739745e+04 1.10851128e+00]
[ 158.02783199 1012.92106308],[5.03746081e+04 1.11904114e+00]
[ 138.87078523 1026.43203372],[5.24192986e+04 1.11437193e+00]
[ 131.73948628 1031.38748498],[5.31695060e+04 1.11257756e+00]
[ 122.33405798 1040.17603134],[5.42597555e+04 1.10325759e+00]
[ 117.21803047 1048.82822803],[5.30150225e+04 1.03669232e+00]
[ 111.78429959 1057.74649297],[5.09128989e+04 9.81733895e-01]
[ 105.90115085 1067.09677392],[4.87535402e+04 9.20142718e-01]
[  99.85270951 1077.90372956],[4.65278236e+04 8.57169996e-01]
[  93.7512137  1088.61385822],[4.42342329e+04 7.94795297e-01]
[  87.63915658 1099.60250536],[4.17589681e+04 7.35709920e-01]
[  80.4866242  1110.36657884],[3.90032425e+04 6.64364936e-01]
[  68.7106547  1125.25142924],[3.26049436e+04 5.79194876e-01]
[  65.07921201 1130.61924415],[3.04369279e+04 5.56600699e-01]
[  58.72499403 1127.66049918],[2.49764459e+04 5.52300346e-01]
[  45.97634097 1132.73484302],[1.72829333e+04 4.89228048e-01]
[  42.51426787 1134.41691083],[1.51713465e+04 4.76546488e-01]
[  29.19618983 1147.63073681],[9.71113102e+03 3.51109464e-01]
[  26.19153326 1151.90600181],[8.50190934e+03 3.22749344e-01]
[  18.70830076 1167.67878878],[5.61347824e+03 2.49400106e-01]
[  10.21146203 1182.76288274],[2.51865908e+03 1.65602336e-01]
