24	2	719.63	309.67	859.62	442.19	2
24	3	1061.54	246.77	1188.34	322.02	2
24	4	1202.28	206.59	1242.99	243.65	2
25	2	716.57	313.13	857.64	446.78	2
25	3	1052.57	249.24	1183.24	323.96	2
25	4	1201.95	206.46	1242.99	244.9	2
26	2	717.62	317.01	859.16	454.24	2
26	3	1040.94	252.11	1174.96	325.94	2
26	4	1201.84	208.33	1243.65	246.64	2
27	2	718.82	319.09	863.32	462.14	2
27	3	1025.73	254.48	1165.41	328.6	2
27	4	1201.16	209.03	1243.9	247.93	2
28	2	720.03	323.03	867.67	468.28	2
28	3	1014.23	255.32	1158.59	330.19	2
28	4	1200.91	209.93	1243.99	249.03	2
29	2	721.9	327.72	873.41	476.95	2
29	3	998.48	256.25	1149.02	332.69	2
29	4	1200.18	210.9	1244.02	250.72	2
30	2	723.33	331.4	877.64	482.74	2
30	3	987.42	257.2	1141.57	334.24	2
30	4	1199.91	211.89	1244.03	251.98	2
31	2	725.25	336.61	883.92	492.55	2
31	3	971.21	258.83	1130.48	336.71	2
31	4	1199.17	212.24	1244.04	253.72	2
32	2	727.32	339.83	888.3	499.4	2
32	3	959.37	260.06	1121.82	338.9	2
32	4	1198.91	213	1244.03	254.35	2
33	2	730.77	344.85	896.54	508.95	2
33	3	941.59	261.13	1108.99	342.27	2
33	4	1198.17	214.57	1244.03	256.5	2
34	2	734.05	348	902.27	516.98	2
34	3	927.9	262.15	1099.67	343.5	2
34	4	1197.25	215.15	1244.03	257.93	2
35	2	738.58	353.61	912.27	527.62	2
35	3	907.51	263.15	1084.71	346.5	2
35	4	1196.26	215.99	1244.02	259.74	2
36	2	740.96	357.63	919.93	536.06	2
36	3	892.18	266.08	1073.3	348.88	2
36	4	1195.9	216.93	1244.02	261.03	2
37	2	745.73	364.23	930.57	549.4	2
37	3	870.52	268.48	1057.53	352.33	2
37	4	1195.13	217.92	1244.02	262.79	2
38	2	749.49	369.26	938.47	557.6	2
38	3	854.11	270	1044.57	354.87	2
38	4	1194.2	218.92	1244.02	264.71	2
39	2	754.15	375.6	950.47	570.2	2
39	3	830.13	271.83	1026.29	357.72	2
39	4	1193.21	219.92	1243.37	266.7	2
40	2	759.76	383.07	963.97	587.03	2
40	3	803.89	273.78	1004.07	361.99	2
40	4	1192.2	220.93	1242.46	268.72	2
41	2	762.54	389.07	973.58	598.48	2
41	3	783.79	275.78	987.97	364.85	2
41	4	1191.18	221.94	1242.12	270.74	2
42	2	767.41	397.68	986.78	617.41	2
42	3	755.88	279.09	964.69	369.11	2
42	4	1189.52	224.23	1241.99	272.77	2
43	2	771.16	403.47	996.25	629.01	2
43	3	735.22	280.96	946.98	371.96	2
43	4	1188.25	225.09	1241.95	274.79	2
44	2	775.77	411.97	1010	647.95	2
